frequency,amplitude,linewidth,frequency_sd,amplitude_sd,linewidth_sd,convergence,height,AIC,n,l,tau,zeta
23.117256977726754,0.3527751688955035,,0.00215476330790046,0.21091892297191706,,0,5.0328480263163495,2.4799023731011403,,,9216.172824518866,0.9873302134374189
25.006306072141317,0.3505513722007267,,0.0029775430364870265,0.21082375597393813,,0,4.969596663618988,2.2885817004444107,,,12690.22263385391,0.9046096599642782
25.742708202047965,0.3937194080852831,0.01569271594832391,0.012855846854596512,0.11183628007611797,0.016099190086568228,0,3.144312198923713,6.910220187084633,4.0,2.0,13892.69104049929,0.9756134368441062
26.44067271731636,0.6592541657466806,0.039653246904715986,0.015072478377217778,0.11678482567779665,0.027621419121148256,0,3.4888085545788083,32.990675789940724,5.0,0.0,14937.07297441578,0.9846742964899199
28.8038918546374,0.4102323526025229,0.006964333585821296,0.005273711498012458,0.11648947312232187,0.005798258924196053,0,7.691842399445727,13.885621786517731,,,18199.504190151478,0.8257290236535229
29.744673980614596,0.5501965237889668,,0.001488191437783399,0.29939739061055703,,0,12.24203125164404,12.25012836479982,,,19414.608526596796,0.9639414537257597
30.10718601233941,0.7339777199070924,0.06643871909827215,0.02609973296911989,0.11001738346369877,0.029831429475343445,0,2.581039377469128,26.233973735137624,5.0,2.0,19831.59128826349,0.9752332024662465
30.73346417997984,1.1902059561107277,0.12671516926418638,0.03033822511922157,0.1088781156550328,0.038549029072326636,0,3.558490066081009,108.85877346796951,6.0,0.0,20522.875942884424,0.9806458912710302
32.635837155443056,0.5266932454363166,0.009122512354423472,0.005701954704110267,0.12913725139519716,0.0070477565358324605,0,9.679460785465984,23.610954827669055,,,22503.785447705486,0.8646020474736873
32.88440412587945,1.0020626753665334,0.02649179915825,0.009218542090383045,0.13417975189977188,0.010607041558715266,0,12.065031087073232,123.04927848940494,,,22783.68023728339,0.7965268660811955
33.16424000925141,0.7362806348187213,0.011452322694147121,0.005978510347559784,0.1446596826832475,0.006306854820477772,0,15.067573088169551,61.55518637468413,,,23106.192602786927,0.8169520190500809
33.42824420932519,0.5007646967033318,0.00370210382899099,0.003934131718379725,0.14576302783280187,0.002293778614162872,0,21.561002038002876,35.612483283028276,,,23384.56770033744,0.8899099275895984
33.747077548251426,0.595315091481431,0.001967760943729857,0.0018152560562962996,0.2753117045501277,0.0016931537671499002,0,57.328631575545714,27.052529521402906,,,23692.22081429011,0.9394481156537949
34.07654937298082,0.8959258864543478,0.031248477111906068,0.011337207577923305,0.1429716566696301,0.02047572576034566,0,8.176462334943126,69.61820945732143,6.0,2.0,23993.096701681887,0.9611500976328359
34.245316660105054,0.7297515736007117,0.012337801826325823,0.006944868980108698,0.15532581450865385,0.008532460064472409,0,13.739230745722212,34.924250336431214,6.0,2.0,24143.02397597496,0.9669703082601683
34.38838329486986,0.6305986227682803,0.033390988227176024,0.017987575886596115,0.12866973576463592,0.02038747551061544,0,3.7907652489430643,14.69568115468246,6.0,2.0,24268.388314915825,0.9703387652646692
34.85820899797732,1.7701150875009914,0.051323834810829735,0.011786580349176677,0.15753328267290925,0.012628039000951066,0,19.432739834613308,442.4132781937605,7.0,0.0,24670.89708371012,0.975444487407761
35.43107584187117,0.7306256911283624,0.07613649642126319,0.03192148029683667,0.11450711228680155,0.034852245178373896,0,2.2317580911923733,23.046383010898357,7.0,3.0,25146.368579981376,0.9738487965744593
35.842871451883994,0.3221182715473998,0.001967760943729857,0.002710244818509521,0.19173294436145666,0.0023639814578717425,0,16.784503964614437,8.403245534245798,,,25480.36539910529,0.9663569084555628
36.55544380096658,0.6603509694195074,0.011938497588870318,0.006776781665075303,0.13015516424920598,0.006040269985511773,0,11.626529308663786,49.9310271170325,,,26054.09223353989,0.9163492182248066
36.908033601521694,1.061656653285451,0.004021159888138911,0.00307706521756558,0.2617661174065421,0.0021370010907839463,0,89.22097340809714,208.45094313842307,,,26351.21270725332,0.8346227161497121
37.19378245001967,1.0487040307521531,0.020917711427498056,0.007992431644871841,0.14788269758347827,0.007610331705153275,0,16.73562108904994,147.954899396982,,,26615.554157431463,0.752118738759186
37.504001246919756,0.9909334011062704,0.00625356853550669,0.003557527221038498,0.2296256670686454,0.003765697775389292,0,49.981714341403745,156.8245934335446,,,26906.481533409024,0.8016047064401418
37.846427367260354,0.5033226705810012,0.005793755866873589,0.004336511904649189,0.1424338932757996,0.004353577092214196,0,13.91819511883685,26.798709700737167,,,27188.99805421999,0.8966407900547763
38.25135394116774,0.5252101001357232,0.004244778841564686,0.004025171710267803,0.1660133911108836,0.0037077961726271007,0,20.685270188470266,30.906604740341212,,,27491.31883291906,0.9448326244544702
38.420167049563815,0.6102556043336682,,0.002073490511322191,0.3134309117802345,,0,15.060568042372715,9.782093986859763,,,27612.197050890783,0.9542916211457891
38.61716185733821,1.4421857628338417,0.017055942952925406,0.006111717579859934,0.21288007340122173,0.007412575362785505,0,38.81653816084086,288.47034319323035,7.0,2.0,27750.723160594654,0.9614624822667777
38.730922632656544,0.7818087858551152,0.004526637701452885,0.00328297800620278,0.24741071177311905,0.0043614669318061934,0,42.980897941735314,40.11447880436208,7.0,2.0,27829.684977036264,0.9643140296835855
38.859343255289346,0.5431207143683009,,0.0017300837599727931,0.3122665092795117,,0,11.929178396826607,6.557082683884801,,,27918.028952931807,0.9667057654622999
38.94073813997193,0.4445422185716607,0.001967760943729857,0.0023641284045360076,0.2579518954778912,0.0022412680224725623,0,31.96714243305391,8.344130465568012,,,27973.622149351562,0.9678498683232094
39.144468245143216,0.752501332382867,,0.003064384631254193,0.3938029962605341,,0,22.8998346254632,6.566233970806934,,,28111.535605410285,0.9696937528881567
39.316084225244204,1.8380655327318558,0.0670489178696635,0.01400190185509138,0.14861535391352587,0.016420411679993644,0,16.039112620968822,457.83058827922827,8.0,0.0,28226.464537315,0.9702787359167184
39.58347907739151,0.7698523705754281,,0.0018156852425599914,0.4236946672132469,,0,23.968050021863327,15.104971008888242,,,28403.536080847847,0.9696630178143605
39.97281178631958,0.4720127862516054,0.04105892625395111,0.03348492695862061,0.12169341375804185,0.03009377752170901,0,1.7272295765314096,6.0673047404852705,8.0,3.0,28657.79666695019,0.9646158592419777
40.51993472638037,0.33161847826171964,0.003358689527223577,0.004542913180877443,0.13706387756014315,0.0032600469283403442,0,10.422159405365573,10.531735584538183,,,29011.180937853544,0.9429262478474125
40.97345064898288,0.6682811548189499,0.018106427527595108,0.009035489101305956,0.12088091020470593,0.009273731530515764,0,7.851195386855882,40.23800320103692,,,29308.086676156665,0.888474860843614
41.26406904972409,0.5480120416318198,0.04243032498666311,0.02814250254217595,0.15518655104729118,0.03722282222937636,0,2.2529625467718533,7.97860247445351,,,29510.10136844608,0.8083777884337338
41.43324122513933,1.2298211800223873,0.015785353408835467,0.0062352481499740675,0.19139778021518156,0.0069152684188423024,0,30.498589477655663,187.13733937900727,,,29637.640327848047,0.7468456154194446
41.79566363738911,1.4727627569775996,0.016602724607027913,0.005951653167417571,0.21522020764356467,0.0062631630470402645,0,41.58496588999883,333.8235281616889,,,29928.117682951957,0.7379275444646377
42.2005606036229,1.1808108098734345,0.00760374676322109,0.003774231756994239,0.2522541874396318,0.004222467981715829,0,58.36911698513404,218.8777713983818,,,30212.620622262413,0.8693931087514076
42.68763416167872,1.0839004415861333,0.004044472838916446,0.0025364234922966287,0.33669512640290705,0.0030740975376222137,0,92.46278929845488,178.17837753193638,,,30509.823604796115,0.9366927412638175
42.928880332813335,0.4610547015010155,0.004734521065443509,0.00440967374060491,0.16022319306026536,0.004856026666320003,0,14.291538516605065,16.790178845425544,8.0,2.0,30649.22540558043,0.9500885403023608
43.04986818763532,0.8570681660099337,0.005654485460232729,0.003393242703240413,0.2265369086713288,0.004339359994359412,0,41.351166423073934,80.88449817649598,8.0,2.0,30717.941780911126,0.9544911436429211
43.16126592010148,0.5800731497069999,0.0039313926922230355,0.0031706104851261943,0.22466476228317334,0.004655947423367889,0,27.24389689847949,15.591528267621472,8.0,2.0,30780.628433759208,0.9575917329765206
43.22818444441126,0.9608881378506748,0.007107689999433812,0.004244792170251546,0.21969780005790004,0.004340728178955327,0,41.34921923738286,85.14598587829278,8.0,2.0,30818.042825888322,0.9590951264693529
43.340855871802866,0.4770615733539953,0.01414276048129209,0.011071788861115924,0.15652630164171338,0.015484103622255137,0,5.122297675245701,3.4522809787667943,8.0,2.0,30880.660463052835,0.9611136466937225
43.77190212737897,2.35805509773628,0.07828612686590995,0.01378103358797158,0.16748882731735604,0.016523792730250626,0,22.60857640762004,857.2144254887189,9.0,0.0,31116.493770188576,0.9643212858217437
44.552290732500275,0.4104761033463205,0.004488041506623236,0.004364614924062489,0.1426411721157697,0.004889238278295344,0,11.95003068279815,11.518344046497074,,,31532.823756071193,0.9535958036119886
45.03535022639212,0.4720734410897149,0.005703773032850621,0.004384358662452329,0.13936345955175786,0.004669872415109281,0,12.436753514447755,20.14072492219748,,,31788.346168615608,0.9264699895378089
45.57209755604956,1.234224168425342,0.010860014264592157,0.004755736447265071,0.2216731370133559,0.005158364543924582,0,44.64859782239878,228.06075618528664,,,32083.006726198775,0.832302945746391
46.022015730580996,1.6075532114207782,0.025344377922047936,0.007588216229778883,0.19292918010455595,0.008004840800246457,0,32.45631473123082,392.5504647504658,,,32369.89257166545,0.6766814993545214
46.461770082356004,1.0377610154435184,0.009991869859163156,0.004743832383969157,0.19803137428489925,0.00514642668689897,0,34.30821020689629,145.5818292723725,,,32662.522886191124,0.7742218683514032
47.050650654130905,0.5988422789935871,0.014918325904106026,0.007727199022534047,0.1299912242369847,0.012397037660271096,0,7.651647346104263,16.875611897723502,,,32977.104303794535,0.9123176390026885
47.331230682561895,0.8483312817984435,0.09348498181137577,0.03969189321230845,0.1399206858030102,0.0431360947436938,0,2.4504127459834426,15.84139326291188,,,33113.224134399636,0.935613695208786
47.427274601555176,0.5389439608761033,0.004289719670061305,0.003336682758351471,0.19912042313833955,0.005933346922433649,0,21.553035022959385,3.017254263451832,,,33158.80577562555,0.9407785697875335
47.51871756277707,0.6786675794762524,,0.002420275332157984,0.3906341185708697,,0,18.626532122446285,2.938070387535845,,,33201.82555574427,0.9447798145829884
47.63878225779049,1.0421241025588623,0.04977422625912698,0.01652517946954369,0.14047392808781112,0.024605250191658767,0,6.945195747814774,50.35116592845952,9.0,2.0,33257.81783770205,0.9489383566517757
48.19662687943099,1.7970819194423655,0.10399781392453382,0.019508571898819542,0.12942150347494136,0.023323791566463532,0,9.884658426063496,331.6371973818113,10.0,0.0,33512.31957217469,0.9575947719007324
48.382038433213474,0.422877870938952,0.001967760943729857,0.006237965668705145,0.5155066466057519,0.004682987896624055,0,28.927287330947234,5.102319096386053,,,33595.324285007344,0.9577535719559553
49.05234616837722,0.7147308647360147,,0.0021664557478403494,0.37807925493191397,,0,20.65869450568021,24.61638184912408,,,33891.36192914762,0.9467224595383328
49.767636195460966,0.5879596605597599,0.006209238633987976,0.0044135345418948955,0.1485544451734857,0.003911521134923999,0,17.721759451125514,41.630197789903825,,,34208.036884304616,0.8911508696088096
50.20718819493181,1.385349524089947,0.0045487577452208855,0.0028376042992864954,0.3686192108831197,0.00288295097166058,0,134.30000812194083,293.2293288039891,,,34416.86148903098,0.7809242403223279
50.36734114628104,0.6742019481038453,0.03398303309713719,0.01900340475242615,0.11842285853842348,0.01636792529730461,0,4.257630761361819,24.568912247050317,,,34501.62152627408,0.7158450307005559
50.829746653500884,0.9080607743254108,0.07778854310261872,0.02687864400176023,0.1064387097516154,0.0264469289411173,0,3.374149500096062,51.616368340612105,,,34777.66297941131,0.6598316704354238
51.52982744981154,0.5347331311755948,0.031498501995679835,0.01716338267647036,0.11008389798180636,0.019363345718460125,0,2.889577941867204,6.658645103989329,,,35119.66417885727,0.8820050531295593
52.18378094424351,1.2303441998810458,0.17890534051222334,0.04010838669231828,0.12283042662191228,0.06101621425442605,0,2.693271124342109,68.56549443745826,10.0,2.0,35384.97627387591,0.9382167202747198
52.68812612262595,0.8129887910921849,0.06934419674116114,0.0260647263846742,0.13104092737422532,0.036112287814560426,0,3.0339549042709066,4.4521406132935235,,,35579.01445607671,0.9496430571107692
52.99377028419956,1.0560135655721887,0.12120598448670256,0.04247187481573509,0.15175704139349386,0.06644819163348797,0,2.9286337183350013,33.994503118392466,11.0,0.0,35694.16186646824,0.9507658296620712
54.683660827042026,0.6520251055165798,0.04560687247030279,0.02047525279230129,0.10408975000949457,0.02112652568763213,0,2.967211286955003,22.80746421359254,,,36330.827748243624,0.8159211915799527
55.19473618262905,0.7504231333098073,0.0397554802191424,0.014545204582397997,0.11104026787546707,0.019693945036285687,0,4.508847541385611,40.60572534099265,,,36567.86447921578,0.6183751938401962
55.91609881253312,0.5988185203714796,0.044444306140366915,0.02866316583948712,0.11986461259028412,0.033547430384804434,0,2.568173997750685,11.778262524849195,,,36922.83914925205,0.7900405828387964
56.798022251499795,1.0029745167369484,0.3736964652534712,0.11303928778344675,0.1287350079787866,0.14018610104266802,0,0.8568621018687401,27.844403254122877,11.0,2.0,37239.86465649213,0.9249003138812429
57.57168891353879,0.5601154495009809,,0.0015588116574951373,0.2788248157633024,,0,12.687407918081284,2.7172565488763207,,,37492.22932549399,0.9437202622407789
59.97274808963025,0.4225403246772828,,0.0017647074628490266,0.17854571936023295,,0,7.220281384088465,3.663570661392441,,,38313.79253366435,0.5840269142058492
